feature_id,feature_name,category,implementation_class,normative_specification,registry_entry,source_module,provider,positive_vectors,negative_vectors,hostile_tests,formal_definition,theorem_ids,assumption_ids,unit_test_status,integration_test_status,interop_status,lean_compile_status,implementation_status,critical_issues,evidence_paths
SHA-224,SHA-224,DIGEST,NODE_NATIVE,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,src/digest/sha2.mjs,node:crypto,vectors/digest/sha-224.json,vectors/digest/negative-algorithm-ids.json,test/hostile/hostile-input.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/digest/sha2.mjs;vectors/digest/sha-224.json;test/unit/digest.test.mjs;test/hostile/hostile-input.test.mjs
SHA-256,SHA-256,DIGEST,NODE_NATIVE,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,src/digest/sha2.mjs,node:crypto,vectors/digest/sha-256.json,vectors/digest/negative-algorithm-ids.json,test/hostile/hostile-input.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/digest/sha2.mjs;vectors/digest/sha-256.json;test/unit/digest.test.mjs;test/hostile/hostile-input.test.mjs
SHA-384,SHA-384,DIGEST,NODE_NATIVE,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,src/digest/sha2.mjs,node:crypto,vectors/digest/sha-384.json,vectors/digest/negative-algorithm-ids.json,test/hostile/hostile-input.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/digest/sha2.mjs;vectors/digest/sha-384.json;test/unit/digest.test.mjs;test/hostile/hostile-input.test.mjs
SHA-512,SHA-512,DIGEST,NODE_NATIVE,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,src/digest/sha2.mjs,node:crypto,vectors/digest/sha-512.json,vectors/digest/negative-algorithm-ids.json,test/hostile/hostile-input.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/digest/sha2.mjs;vectors/digest/sha-512.json;test/unit/digest.test.mjs;test/hostile/hostile-input.test.mjs
SHA-512/224,SHA-512/224,DIGEST,NODE_NATIVE,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,src/digest/sha2.mjs,node:crypto,vectors/digest/sha-512-224.json,vectors/digest/negative-algorithm-ids.json,test/hostile/hostile-input.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/digest/sha2.mjs;vectors/digest/sha-512-224.json;test/unit/digest.test.mjs;test/hostile/hostile-input.test.mjs
SHA-512/256,SHA-512/256,DIGEST,NODE_NATIVE,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,src/digest/sha2.mjs,node:crypto,vectors/digest/sha-512-256.json,vectors/digest/negative-algorithm-ids.json,test/hostile/hostile-input.test.mjs,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/digest/sha2.mjs;vectors/digest/sha-512-256.json;test/unit/digest.test.mjs;test/hostile/hostile-input.test.mjs
SHA3-224,SHA3-224,DIGEST,NODE_NATIVE,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,,node:crypto,no,no,no,no,,ASSUMPTION-NODE-CRYPTO-CORRECTNESS,NOT_RUN,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,NOT_IMPLEMENTED,,
SHA3-256,SHA3-256,DIGEST,PURE_MJS,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,src/digest/sha3.mjs,in-repo,vectors/digest/sha3-256.json,vectors/digest/negative-algorithm-ids.json,test/hostile/hostile-input.test.mjs,no,,ASSUMPTION-PUREMJS-VECTOR-ADEQUACY,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/digest/sha3.mjs;vectors/digest/sha3-256.json;test/unit/digest.test.mjs;test/hostile/hostile-input.test.mjs
SHA3-384,SHA3-384,DIGEST,PURE_MJS,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,src/digest/sha3.mjs,in-repo,vectors/digest/sha3-384.json,vectors/digest/negative-algorithm-ids.json,test/hostile/hostile-input.test.mjs,no,,ASSUMPTION-PUREMJS-VECTOR-ADEQUACY,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/digest/sha3.mjs;vectors/digest/sha3-384.json;test/unit/digest.test.mjs;test/hostile/hostile-input.test.mjs
SHA3-512,SHA3-512,DIGEST,PURE_MJS,FIPS 180-4 / FIPS 202 / RFC 7693,ALGORITHM_REGISTRY.json,src/digest/sha3.mjs,in-repo,vectors/digest/sha3-512.json,vectors/digest/negative-algorithm-ids.json,test/hostile/hostile-input.test.mjs,no,,ASSUMPTION-PUREMJS-VECTOR-ADEQUACY,PASS,NOT_RUN — no end-to-end bundle layer in this slice,NOT_RUN — no second independent implementation available in this environment,NOT_RUN — lake/lean not installed in this environment,COMPLETE,,src/digest/sha3.mjs;vectors/digest/sha3-512.json;test/unit/digest.test.mjs;test/hostile/hostile-input.test.mjs
